brand,name,fabric,price,url,image,category,source,description,created_at,updated_at,title,image_url
LEVI'S,501 Original Short,,$70.00,https://www.revolve.com/levis-501-original-short-in-athens-mid-short/dp/LEIV-WF31/?d=Womens&page=1&lc=1&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=1&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/LEIV-WF31_V1.jpg,Bottom,Revolve,LEVI'S 501 Original Short,2025-08-20T15:09:01.702135,2025-08-20T15:09:01.702143,LEVI'S 501 Original Short,https://is4.revolveassets.com/images/p4/n/tv/LEIV-WF31_V1.jpg
LIONESS,Original Sin Dress,,$69.00,https://www.revolve.com/lioness-original-sin-dress-in-onyx/dp/LIOR-WD47/?d=Womens&page=1&lc=2&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=1&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WD47_V1.jpg,Dress,Revolve,LIONESS Original Sin Dress,2025-08-20T15:09:01.702193,2025-08-20T15:09:01.702195,LIONESS Original Sin Dress,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WD47_V1.jpg
AGOLDE,Parker Long Short,,$148.00,https://www.revolve.com/agolde-parker-long-short-in-swapmeet/dp/AGOL-WF67/?d=Womens&page=1&lc=3&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=1&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/AGOL-WF67_V1.jpg,Bottom,Revolve,AGOLDE Parker Long Short,2025-08-20T15:09:01.702232,2025-08-20T15:09:01.702234,AGOLDE Parker Long Short,https://is4.revolveassets.com/images/p4/n/tv/AGOL-WF67_V1.jpg
ASTR the Label,Blythe Dress,,$164.00,https://www.revolve.com/astr-the-label-blythe-dress-in-coral-multi/dp/ASTR-WD190/?d=Womens&page=1&lc=4&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=1&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/ASTR-WD190_V1.jpg,Dress,Revolve,ASTR the Label Blythe Dress,2025-08-20T15:09:01.702265,2025-08-20T15:09:01.702266,ASTR the Label Blythe Dress,https://is4.revolveassets.com/images/p4/n/tv/ASTR-WD190_V1.jpg
LIONESS,Palisades Mini Skirt,,$64.00,https://www.revolve.com/lioness-palisades-mini-skirt-in-oyster/dp/LIOR-WQ59/?d=Womens&page=1&lc=5&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=2&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WQ59_V1.jpg,Bottom,Revolve,LIONESS Palisades Mini Skirt,2025-08-20T15:09:01.702298,2025-08-20T15:09:01.702299,LIONESS Palisades Mini Skirt,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WQ59_V1.jpg
AGOLDE,Parker Vintage Cut Off Short,,$148.00,https://www.revolve.com/agolde-parker-vintage-cut-off-short-in-swapmeet/dp/AGOL-WN15/?d=Womens&page=1&lc=6&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=2&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/AGOL-WN15_V1.jpg,Bottom,Revolve,AGOLDE Parker Vintage Cut Off Short,2025-08-20T15:09:01.702328,2025-08-20T15:09:01.702329,AGOLDE Parker Vintage Cut Off Short,https://is4.revolveassets.com/images/p4/n/tv/AGOL-WN15_V1.jpg
Amanda Uprichard,Ace Dress,,$194.00,https://www.revolve.com/amanda-uprichard-ace-dress-in-pacific/dp/AMAN-WD942/?d=Womens&page=1&lc=7&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=2&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/AMAN-WD942_V1.jpg,Dress,Revolve,Amanda Uprichard Ace Dress,2025-08-20T15:09:01.702356,2025-08-20T15:09:01.702358,Amanda Uprichard Ace Dress,https://is4.revolveassets.com/images/p4/n/tv/AMAN-WD942_V1.jpg
SNDYS,Tahlia Dress,,$115.00,https://www.revolve.com/sndys-tahlia-dress-in-chocolate/dp/SDYS-WD109/?d=Womens&page=1&lc=8&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=2&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/SDYS-WD109_V1.jpg,Dress,Revolve,SNDYS Tahlia Dress,2025-08-20T15:09:01.702384,2025-08-20T15:09:01.702385,SNDYS Tahlia Dress,https://is4.revolveassets.com/images/p4/n/tv/SDYS-WD109_V1.jpg
LIONESS,Field Of Dreams Dress,,$109.00,https://www.revolve.com/lioness-field-of-dreams-dress-in-light-blue/dp/LIOR-WD73/?d=Womens&page=1&lc=9&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=3&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WD73_V1.jpg,Dress,Revolve,LIONESS Field Of Dreams Dress,2025-08-20T15:09:01.702411,2025-08-20T15:09:01.702413,LIONESS Field Of Dreams Dress,https://is4.revolveassets.com/images/p4/n/tv/LIOR-WD73_V1.jpg
SNDYS,Cottage Top,,$57.00,https://www.revolve.com/sndys-cottage-top-in-white/dp/SDYS-WS124/?d=Womens&page=1&lc=10&plpSrc=%2Fr%2FBrands.jsp%3FaliasURL%3Dclothing%2Fbr%2F3699fc%26s%3Dc%26c%3DClothing%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue&itrownum=3&itcurrpage=1&itview=05,https://is4.revolveassets.com/images/p4/n/tv/SDYS-WS124_V1.jpg,Top,Revolve,SNDYS Cottage Top,2025-08-20T15:09:01.702440,2025-08-20T15:09:01.702441,SNDYS Cottage Top,https://is4.revolveassets.com/images/p4/n/tv/SDYS-WS124_V1.jpg
